# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\djaye\OneDrive\Campus\ODU\Fall2019\ECE487\Work\Work\PUF_AES_PUF\PUF_AES_PUF.csv
# Generated on: Sun Sep 15 01:22:24 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
Buttons[1],Input,PIN_AK4,3B,B3B_N0,PIN_AA26,,,,,,,,,,,,,,
Buttons[0],Input,PIN_AJ4,3B,B3B_N0,PIN_AE29,,,,,,,,,,,,,,
CLK,Input,PIN_AF14,3B,B3B_N0,PIN_Y27,,,,,,,,,,,,,,
Done,Output,,,,PIN_W16,,,,,,,,,,,,,,
H0[6],Output,PIN_AH18,4A,B4A_N0,PIN_AJ1,,,,,,,,,,,,,,
H0[5],Output,PIN_AG18,4A,B4A_N0,PIN_A6,,,,,,,,,,,,,,
H0[4],Output,PIN_AH17,4A,B4A_N0,PIN_G15,,,,,,,,,,,,,,
H0[3],Output,PIN_AG16,4A,B4A_N0,PIN_E1,,,,,,,,,,,,,,
H0[2],Output,PIN_AG17,4A,B4A_N0,PIN_AG21,,,,,,,,,,,,,,
H0[1],Output,PIN_V18,4A,B4A_N0,PIN_E4,,,,,,,,,,,,,,
H0[0],Output,PIN_W17,4A,B4A_N0,PIN_G8,,,,,,,,,,,,,,
H1[6],Output,PIN_V17,4A,B4A_N0,PIN_E7,,,,,,,,,,,,,,
H1[5],Output,PIN_AE17,4A,B4A_N0,PIN_AJ10,,,,,,,,,,,,,,
H1[4],Output,PIN_AE18,4A,B4A_N0,PIN_AJ2,,,,,,,,,,,,,,
H1[3],Output,PIN_AD17,4A,B4A_N0,PIN_D1,,,,,,,,,,,,,,
H1[2],Output,PIN_AE16,4A,B4A_N0,PIN_D10,,,,,,,,,,,,,,
H1[1],Output,PIN_V16,4A,B4A_N0,PIN_AG2,,,,,,,,,,,,,,
H1[0],Output,PIN_AF16,4A,B4A_N0,PIN_E13,,,,,,,,,,,,,,
H2[6],Output,PIN_W16,4A,B4A_N0,PIN_G13,,,,,,,,,,,,,,
H2[5],Output,PIN_AF18,4A,B4A_N0,PIN_AJ14,,,,,,,,,,,,,,
H2[4],Output,PIN_Y18,4A,B4A_N0,PIN_B7,,,,,,,,,,,,,,
H2[3],Output,PIN_Y17,4A,B4A_N0,PIN_AE18,,,,,,,,,,,,,,
H2[2],Output,PIN_AA18,4A,B4A_N0,PIN_B13,,,,,,,,,,,,,,
